Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2009-12-10,110.6999969482422,111.12000274658205,110.4499969482422,110.63999938964844,84.9493637084961,138014600,110.45599975585938,110.41410681530145,-0.6643902693639261,54.10023896532655,0.6423336376337545,111.97424831490784,108.97275028128357,110.4734992980957
2009-12-11,111.11000061035156,111.36000061035156,110.61000061035156,111.11000061035156,85.31023406982422,124854000,110.60999984741211,110.54063295985603,1.405495044096536,57.12818625149586,0.6535939784611315,111.9461745044353,109.20882427486157,110.57749938964844
2009-12-14,111.87000274658205,112.0,111.12999725341795,111.87000274658205,85.89375305175781,107141500,110.8029998779297,110.78233655744256,1.7555032402372606,61.671128688375596,0.7155947694244986,112.0947768065644,109.28522197273247,110.68999938964843
2009-12-15,111.45999908447266,111.91999816894533,111.0,111.3499984741211,85.49449157714844,120408800,110.80799942016601,110.88554781502047,0.04491951571649653,57.07334737403784,0.7145341392487836,112.11341858187656,109.28058013638515,110.69699935913086
2009-12-16,111.8000030517578,112.12999725341795,111.2699966430664,111.5199966430664,85.62501525878906,155358200,110.83499908447266,111.00090214739245,0.24269361174508428,58.205183772864146,0.7191214294913664,112.14081479680436,109.27118395197493,110.70599937438965
2009-12-17,110.72000122070312,110.93000030517578,110.08000183105467,110.18000030517578,84.59619903564453,183390100,110.81499938964843,110.85164726698942,-0.18118948470618876,47.285675364194915,0.6076260495421053,112.07927082649474,109.2237282884955,110.65149955749511
2009-12-18,110.1999969482422,110.3000030517578,109.27999877929688,110.20999908447266,85.07474517822266,174591200,110.73499908447266,110.73498396107726,-0.720658531990721,47.53052844594605,0.5157406710124661,112.06301818006844,109.27898087388664,110.67099952697754
2009-12-21,110.76000213623048,111.6999969482422,110.76000213623048,111.33000183105467,85.93932342529297,118039600,110.78399963378907,110.84316902834588,0.442083642505986,56.007300996930475,0.5272182639600373,112.06232397094449,109.46967523559847,110.76599960327148
2009-12-22,111.56999969482422,111.97000122070312,111.43000030517578,111.7300033569336,86.24811553955078,91707500,110.99599990844726,111.00441163354364,1.9341325926256936,58.65774166908821,0.5621114483741394,112.17438395057056,109.44861562218335,110.81149978637696
2009-12-23,112.0,112.11000061035156,111.5,111.9499969482422,86.41793060302734,111783100,111.18899993896484,111.1763362362161,1.7542268351790815,60.12577399299267,0.6005929312146634,112.30901693862766,109.4099825425735,110.85949974060058
2009-12-24,112.19000244140624,112.5999984741211,112.0,112.4800033569336,86.82705688476562,39677500,111.37300033569336,111.4133666218011,1.663054932606325,63.5869745766911,0.6661775907578118,112.51450718170996,109.31449290984277,110.91450004577636
2009-12-28,112.9000015258789,112.98999786376952,112.31999969482422,112.72000122070312,87.01231384277344,87508500,111.53400039672852,111.6509365488742,1.449015031507044,65.11071274109364,0.7291149445950822,112.73068285203958,109.41331739210104,111.0720001220703
2009-12-29,113.01000213623048,113.02999877929688,112.5500030517578,112.55999755859376,86.88880920410156,80572500,111.60299987792969,111.8162203688232,0.6167826897928633,63.15309340311315,0.7573520100874163,112.89684998315498,109.50914977270439,111.20299987792968
2009-12-30,112.2300033569336,112.6500015258789,112.16999816894533,112.5199966430664,86.8579330444336,73138400,111.71999969482422,111.94417969141287,1.0507392770348642,62.63002811166936,0.7676533187349008,113.05264667419335,109.47535244079687,111.26399955749511
2009-12-31,112.7699966430664,112.8000030517578,111.38999938964844,111.44000244140624,86.02422332763672,90637900,111.71200027465821,111.85251110050257,-0.0717308142648191,50.165510083080385,0.6808225750216366,113.06376605759485,109.48323330153602,111.27349967956543
2010-01-04,112.37000274658205,113.38999938964844,111.51000213623048,113.33000183105467,87.48320770263672,118944600,112.0270004272461,112.12114577878476,2.858959445592703,64.06983310427484,0.7558033103176882,113.37143558719482,109.47056422969972,111.42099990844727
2010-01-05,113.26000213623048,113.68000030517578,112.8499984741211,113.62999725341795,87.71473693847656,111579900,112.36900024414062,112.39548241053626,3.103165046144291,65.75494281578077,0.8298670162758697,113.71480007420456,109.38919925440871,111.55199966430663
2010-01-06,113.5199966430664,113.98999786376952,113.43000030517578,113.70999908447266,87.77650451660156,116074400,112.60699996948242,112.63448544216105,2.137786054319547,66.22431345801357,0.8848188748027326,114.02473551480921,109.36626408846229,111.69549980163575
2010-01-07,113.5,114.33000183105467,113.18000030517578,114.19000244140624,88.14707946777344,131091100,112.85299987792969,112.91730671475108,2.2017354430876623,69.05212640749897,0.9560797853150262,114.28886495560862,109.56013483076835,111.92449989318848
2010-01-08,113.88999938964844,114.62000274658205,113.66000366210938,114.56999969482422,88.44039154052734,126402800,113.1150001525879,113.21779634749166,2.3403330218877287,71.17493329450612,1.031328658093713,114.61319979078463,109.69080030076809,112.15200004577636
2010-01-11,115.08000183105467,115.12999725341795,114.23999786376952,114.7300033569336,88.56391143798828,106375700,113.34000015258789,113.49274307648109,2.000355559076629,72.07120328295979,1.0912951194066238,114.95692595504757,109.75607453323367,112.35650024414062
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,87.73793029785156,163333500,113.43400039672852,113.52315409204986,0.8339269262122764,58.5451605213529,1.0404848770372581,115.07750395119498,109.89049684226205,112.48400039672852
2010-01-13,113.9499969482422,114.94000244140624,113.37000274658205,114.62000274658205,88.4789810180664,161822000,113.64000091552734,113.72258112014663,1.8301396878726242,65.0786432463143,1.0654000286198908,115.35787359347435,109.88512719998269,112.62150039672852
2010-01-14,114.48999786376952,115.13999938964844,114.41999816894533,114.93000030517578,88.71829223632812,115718800,113.88100128173828,113.94211188106101,2.1418447689385722,66.94767414132046,1.0975082856323297,115.64691315660374,109.95408781995874,112.80050048828124
2010-01-15,114.7300033569336,114.83999633789062,113.1999969482422,113.63999938964844,87.72251892089844,212283100,114.1010009765625,113.88718233716781,1.9741537150440505,53.666955743972224,1.0072510545814026,115.71187664737445,110.10112460384624,112.90650062561035
