Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
355,58086629.0,300.2762,301.07,301.16,301.93,298.1,1676610000000,366633,304.403,298.3790866524541,-1.6395584296818804,52.65403366738865,6.106042837767745,314.67425023831714,285.56574976168287,300.12
356,46526708.0,295.9518,297.26,294.03,298.73,293.89,1676955600000,315144,303.447,297.9837151385946,-3.1489838268717687,43.8360570937575,4.985026515059587,314.3046755067387,286.44232449326137,300.37350000000004
357,51381737.0,294.3958,294.62,294.25,296.3599,292.56,1677042000000,337224,301.884,297.64428648963144,-5.043887956628371,44.15668339068281,4.067477811911488,313.79817229807963,287.5368277019204,300.6675
358,69195443.0,295.6512,297.97,296.82,298.13,292.55,1677128400000,500578,301.129,297.5693513542104,-2.4805335611262644,48.009129498799176,3.5072618443520014,312.9994216057003,289.2445783942996,301.12199999999996
359,73810458.0,291.5889,291.76,291.85,292.97,290.05,1677214800000,526990,300.146,297.0494103220095,-3.258419517369392,41.811297880781225,2.6319101678384413,313.13604974757345,288.9589502524266,301.0475
360,48444309.0,294.4443,295.07,293.94,296.49,293.34,1677474000000,366103,299.57000000000005,296.7667366563723,-1.921921921921919,45.121579430013526,2.0828236957228228,313.24403389841245,288.6189661015875,300.93149999999997
361,48173241.0,294.424,293.3,293.56,296.124,292.96,1677560400000,390564,298.476,296.4752151421566,-3.5927750410509023,44.60890386842985,1.5985784689003708,312.9122826641697,289.2797173358303,301.096
362,58189072.0,291.8088,293.26,291.2,293.93,290.2,1677646800000,472978,296.921,295.9956501292333,-5.069274653626735,41.36562834055308,1.0127045337101208,313.20123802308984,288.6487619769102,300.925
363,53718707.0,291.1586,288.66,293.61,294.43,288.37,1677733200000,443698,295.37199999999996,295.77877284475755,-5.01132319637658,45.83402186242064,0.7343964131626421,313.24309172314986,287.87590827685017,300.5595
364,60216540.0,297.6849,295.39,299.68,299.92,294.87,1677819600000,438513,295.01000000000005,296.1334298588705,-1.1935377514012544,55.35535301700158,0.9921960746919467,311.5621212777304,288.35287872226957,299.9575
365,56584494.0,301.5598,300.94,300.02,304.0,299.82,1678078800000,397995,294.896,296.48675441715494,-0.37853632620535366,55.838481668099256,1.209991295836744,310.89870703870065,288.40029296129933,299.6495
366,65925756.0,297.8667,300.07,296.34,301.01,295.72,1678165200000,545929,295.127,296.4734131065045,0.785634118967453,49.408346369343626,1.0732782492026445,310.4719936968937,288.10200630310635,299.28700000000003
367,50838415.0,296.861,296.77,297.82,298.43,294.88,1678251600000,447833,295.48400000000004,296.5958300968222,1.2132540356839399,51.884311924179656,1.0719984747833564,308.7655542452318,288.60244575476827,298.684
368,71426691.0,296.3817,298.33,292.66,300.98,291.8299,1678338000000,518180,295.068,296.2380273607475,-1.4015228084360785,43.615356879246015,0.6471553640584489,308.1512653409173,288.0457346590827,298.0985
369,98581561.0,290.3287,292.83,288.55,294.35,287.38,1678424400000,829376,294.738,295.53911578249773,-1.1307178345040299,38.22397572032036,-0.020937162738050574,308.165966803359,286.718033196641,297.442
370,97006853.0,291.0219,286.73,290.69,294.47,285.19,1678680000000,1053844,294.413,295.0982870749979,-1.1056678233653128,42.346965152546154,-0.37342062774689566,308.04997417140106,285.9330258285989,296.9915
