Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
277,87883672.0,150.0488,150.96,149.35,151.99,148.04,1666756800000,694793,145.31900000000002,146.46091858870648,7.958652595055653,56.782312557130254,-0.7547787736974954,151.43895092517934,135.76904907482063,143.60399999999998
278,109161970.0,145.3119,148.07,144.8,149.046,144.13,1666843200000,944053,145.5,146.30992598973316,1.2658227848101282,47.27929329965718,-0.8186794742825612,151.55364793694287,135.88635206305713,143.72
279,164762371.0,154.5822,148.2,155.74,157.5,147.82,1666929600000,1228075,147.236,147.16720544521195,12.545165486341967,63.56821665721103,0.013292107587062674,153.60208323115182,135.5919167688482,144.597
280,97932271.0,153.2791,153.155,153.34,154.24,151.92,1667188800000,726843,148.329,147.72836858655631,7.675022821431083,59.11608277684455,0.47351722605944246,154.85086099854018,135.43213900145983,145.1415
281,80379345.0,150.9807,155.08,150.65,155.45,149.13,1667275200000,650595,149.01899999999998,147.9939714423239,4.800000000000004,54.37350918057041,0.6141093590385083,155.36648148285224,135.37151851714776,145.369
282,93604623.0,148.2186,148.945,145.03,152.17,145.0,1667361600000,788400,149.13600000000002,147.72451949302172,0.8132906992909685,45.83723478683264,0.26894240500175215,155.2875545707918,135.3134454292082,145.3005
283,97917166.0,140.1145,142.06,138.88,142.8,138.75,1667448000000,871800,148.685,146.92047226638337,-3.145268149801235,38.48998170604879,-0.49515070605272626,155.3437976549527,134.60220234504732,144.973
284,140494796.0,137.3583,142.09,138.38,142.67,134.38,1667534400000,1161631,147.796,146.14406569671218,-6.0365315407075535,37.9406137541591,-1.1280424516816936,155.4444406079589,134.33055939204107,144.8875
285,83364228.0,137.4671,137.11,138.92,139.145,135.671,1667797200000,715005,146.743,145.4873324515565,-7.045834727333558,38.98564407931757,-1.5679657002322358,155.5156301496325,134.1093698503675,144.8125
286,89908477.0,139.5702,140.41,139.5,141.43,137.49,1667883600000,637312,145.459,144.943029501415,-8.428515163450179,40.187642946825534,-1.8484985508033844,155.48721874921918,134.18978125078084,144.8385
287,74903262.0,135.9897,138.5,134.87,138.55,134.5933,1667970000000,632982,144.01100000000002,144.0272995467409,-9.695346501506522,34.20993416220202,-2.4165684644895578,155.83204526721244,133.49795473278755,144.665
288,118854028.0,144.1322,141.24,146.87,146.87,139.5,1668056400000,875048,144.21800000000002,144.28572686067352,1.429558011049719,53.93985253053767,-1.8768332861583303,156.0377135216881,133.68028647831193,144.859
289,93966273.0,148.1929,145.82,149.7,150.01,144.37,1668142800000,742241,143.614,144.7779335097032,-3.8782586361885323,57.295678807297996,-1.2068204451733493,156.37825431093307,134.47174568906695,145.425
290,73374114.0,148.7236,148.97,148.28,150.28,147.43,1668402000000,576289,143.108,145.09630319063925,-3.2998565279770458,55.059206654208275,-0.7814050233740488,156.64742359749917,134.78957640250084,145.7185
